I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
43,48,4,-46,19,26,102,361,78,58,234,29, 
34,53,19,-43,7,36,102,366,78,63,239,34, 
39,63,24,-51,7,43,92,366,82,63,244,39, 
48,78,29,-63,9,53,92,366,87,73,253,43, 
48,92,43,-70,2,68,87,366,87,78,258,48, 
43,87,43,-65,0,65,92,366,87,78,253,53, 
48,92,43,-70,2,68,92,366,92,82,258,58, 
48,97,48,-73,0,73,92,361,97,82,258,63, 
53,102,48,-78,2,75,82,356,97,87,263,73, 
68,107,39,-87,14,73,68,346,97,87,253,82, 
68,112,43,-90,12,78,63,341,97,82,253,82, 
68,112,43,-90,12,78,58,336,92,82,258,87, 
68,117,48,-92,9,82,53,331,92,82,263,87, 
73,122,48,-97,12,85,48,322,82,82,268,82, 
73,122,48,-97,12,85,43,312,82,78,268,82, 
73,122,48,-97,12,85,43,307,78,78,268,82, 
73,126,53,-100,9,90,39,297,73,78,268,82, 
78,131,53,-104,12,92,34,287,78,73,263,92, 
78,136,58,-107,9,97,29,278,73,73,263,92, 
78,136,58,-107,9,97,24,273,68,68,263,92, 
78,136,58,-107,9,97,19,263,63,63,253,92, 
68,131,63,-100,2,97,24,253,48,58,248,82, 
68,131,63,-100,2,97,19,244,43,48,248,82, 
68,131,63,-100,2,97,19,229,29,43,248,82, 
68,122,53,-95,7,87,19,214,29,39,244,78, 
68,126,58,-97,4,92,19,204,29,43,239,87, 
68,126,58,-97,4,92,19,195,29,39,234,78, 
63,112,48,-87,7,80,19,190,19,39,229,78, 
63,112,48,-87,7,80,19,180,14,34,229,73, 
73,117,43,-95,14,80,14,175,0,29,224,68, 
68,102,34,-85,17,68,24,170,-4,24,214,63, 
63,97,34,-80,14,65,24,156,-9,19,209,58, 
53,82,29,-68,12,56,29,141,-14,14,204,43, 
48,73,24,-61,12,48,34,131,-19,14,195,43, 
39,58,19,-48,9,39,39,126,-19,9,195,34, 
39,53,14,-46,12,34,43,122,-24,9,190,24, 
29,43,14,-36,7,29,43,112,-24,4,185,19, 
39,39,0,-39,19,19,53,112,-29,9,180,19, 
34,39,4,-36,14,21,53,107,-34,0,175,14, 
24,29,4,-26,9,17,53,97,-43,-4,165,4, 
19,14,-4,-17,12,4,53,87,-48,-4,165,0, 
9,4,-4,-7,7,0,48,78,-58,-14,156,-9, 
4,-14,-19,4,12,-17,48,68,-58,-19,146,-14, 
0,-34,-34,17,17,-34,48,53,-58,-24,136,-24, 
-4,-43,-39,24,17,-41,48,43,-58,-24,131,-29, 
-14,-48,-34,31,9,-41,39,43,-53,-24,126,-24, 
-14,-43,-29,29,7,-36,39,39,-63,-29,117,-29, 
-14,-43,-29,29,7,-36,39,34,-73,-29,107,-34, 
-19,-43,-24,31,2,-34,39,19,-78,-39,102,-39, 
-24,-48,-24,36,0,-36,39,19,-82,-34,107,-43, 
-24,-53,-29,39,2,-41,39,14,-82,-34,102,-43, 
-24,-53,-29,39,2,-41,39,9,-87,-34,92,-48, 
-24,-58,-34,41,4,-46,39,4,-87,-39,92,-58, 
-24,-63,-39,43,7,-51,39,4,-87,-43,78,-58, 
-24,-63,-39,43,7,-51,34,0,-92,-48,78,-63, 
-24,-68,-43,46,9,-56,34,-4,-92,-53,78,-63, 
-24,-73,-48,48,12,-61,34,-9,-97,-58,73,-63, 
-24,-73,-48,48,12,-61,24,-14,-102,-53,78,-63, 
-24,-73,-48,48,12,-61,24,-19,-107,-58,73,-63, 
-24,-68,-43,46,9,-56,19,-24,-107,-58,73,-68, 
-29,-68,-39,48,4,-53,19,-29,-107,-58,73,-68, 
-29,-73,-43,51,7,-58,9,-43,-112,-58,63,-63, 
-29,-78,-48,53,9,-63,9,-43,-122,-68,58,-63, 
-29,-87,-58,58,14,-73,9,-48,-126,-68,58,-68, 
-29,-87,-58,58,14,-73,9,-53,-131,-68,58,-68, 
-29,-87,-58,58,14,-73,-4,-53,-131,-68,58,-68, 
-29,-87,-58,58,14,-73,-4,-53,-136,-68,48,-73, 
-29,-87,-58,58,14,-73,-4,-63,-136,-68,48,-73, 
-29,-82,-53,56,12,-68,-9,-63,-141,-73,48,-73, 
-24,-78,-53,51,14,-65,0,-58,-136,-78,43,-63, 
-29,-78,-48,53,9,-63,0,-58,-141,-82,43,-68, 
-34,-78,-43,56,4,-61,4,-58,-146,-82,43,-73, 
-34,-78,-43,56,4,-61,4,-58,-151,-82,39,-78, 
-34,-82,-48,58,7,-65,-4,-68,-141,-87,34,-68, 
-34,-97,-63,65,14,-80,-4,-73,-141,-87,34,-68, 
-39,-87,-48,63,4,-68,-4,-73,-146,-87,39,-68, 
-39,-87,-48,63,4,-68,-4,-78,-146,-87,39,-68, 
-39,-87,-48,63,4,-68,-9,-68,-146,-78,29,-68, 
-39,-87,-48,63,4,-68,-9,-68,-146,-82,29,-68, 
-34,-87,-53,61,9,-70,-9,-73,-146,-82,24,-68, 
-34,-87,-53,61,9,-70,-9,-73,-146,-82,19,-68, 
-34,-97,-63,65,14,-80,-9,-63,-146,-82,4,-78, 
-39,-97,-58,68,9,-78,-9,-63,-151,-82,4,-78, 
-39,-97,-58,68,9,-78,-9,-63,-156,-82,4,-78, 
-34,-92,-58,63,12,-75,-9,-63,-156,-82,4,-78, 
-43,-87,-43,65,0,-65,-9,-53,-156,-92,-4,-78, 
-48,-87,-39,68,-4,-63,-4,-48,-156,-92,-4,-78, 
-48,-87,-39,68,-4,-63,-4,-48,-156,-92,-9,-78, 
-48,-87,-39,68,-4,-63,-4,-48,-156,-97,-9,-78, 
-39,-78,-39,58,0,-58,-4,-53,-156,-97,-9,-82, 
-39,-78,-39,58,0,-58,-4,-48,-156,-97,-9,-82, 
-39,-78,-39,58,0,-58,-4,-43,-156,-97,-14,-82, 
-39,-82,-43,61,2,-63,-4,-39,-156,-97,-14,-82, 
-48,-87,-39,68,-4,-63,0,-24,-156,-87,-4,-82, 
-48,-87,-39,68,-4,-63,0,-24,-156,-87,-4,-87, 
-53,-87,-34,70,-9,-61,0,-24,-151,-87,-9,-87, 
-53,-87,-34,70,-9,-61,0,-19,-151,-87,-9,-82, 
-39,-73,-34,56,-2,-53,0,-9,-141,-87,-9,-87, 
-39,-73,-34,56,-2,-53,0,0,-146,-87,-9,-97, 
-39,-78,-39,58,0,-58,9,0,-146,-82,-14,-102, 
-43,-78,-34,61,-4,-56,9,4,-141,-82,-14,-112, 
-43,-87,-43,65,0,-65,19,4,-136,-82,-9,-107, 
-39,-82,-43,61,2,-63,19,4,-136,-82,-9,-107, 
-39,-82,-43,61,2,-63,19,9,-136,-82,-9,-107, 
-39,-87,-48,63,4,-68,19,9,-136,-78,-9,-112, 
-39,-78,-39,58,0,-58,24,19,-136,-87,-14,-112, 
-39,-78,-39,58,0,-58,24,24,-131,-82,-14,-107, 
-34,-78,-43,56,4,-61,24,29,-131,-82,-14,-107, 
-34,-78,-43,56,4,-61,29,29,-126,-82,-9,-102, 
-34,-63,-29,48,-2,-46,24,34,-117,-82,-9,-102, 
-34,-63,-29,48,-2,-46,24,39,-117,-78,-9,-102, 
-34,-63,-29,48,-2,-46,24,39,-112,-78,-9,-102, 
-34,-63,-29,48,-2,-46,24,48,-112,-73,-4,-102, 
-34,-73,-39,53,2,-56,24,48,-107,-63,-14,-97, 
-34,-68,-34,51,0,-51,29,53,-107,-63,-14,-92, 
-34,-68,-34,51,0,-51,29,53,-102,-58,-9,-87, 
-34,-68,-34,51,0,-51,29,63,-102,-58,-9,-87, 
-43,-73,-29,58,-7,-51,34,63,-107,-53,-19,-92, 
-39,-73,-34,56,-2,-53,34,63,-107,-53,-19,-97, 
-39,-63,-24,51,-7,-43,34,63,-102,-53,-19,-97, 
-39,-53,-14,46,-12,-34,34,63,-102,-48,-14,-92, 
-39,-43,-4,41,-17,-24,34,63,-92,-58,-9,-87, 
-39,-48,-9,43,-14,-29,34,63,-92,-53,-9,-82, 
-39,-48,-9,43,-14,-29,34,68,-92,-53,-9,-82, 
-34,-43,-9,39,-12,-26,39,68,-87,-53,-9,-82, 
-34,-43,-9,39,-12,-26,39,68,-92,-53,-19,-82, 
-34,-53,-19,43,-7,-36,39,73,-92,-48,-19,-78, 
-34,-53,-19,43,-7,-36,39,73,-92,-48,-14,-78, 
-39,-43,-4,41,-17,-24,39,73,-92,-43,-14,-78, 
-39,-43,-4,41,-17,-24,29,82,-92,-43,-24,-78, 
-34,-43,-9,39,-12,-26,29,82,-87,-43,-24,-78, 
-34,-43,-9,39,-12,-26,29,82,-82,-43,-24,-78, 
-34,-48,-14,41,-9,-31,29,82,-82,-43,-24,-78, 
-24,-58,-34,41,4,-46,19,73,-82,-39,-24,-78, 
-24,-53,-29,39,2,-41,19,73,-87,-39,-24,-78, 
-24,-53,-29,39,2,-41,19,73,-87,-39,-24,-78, 
-24,-53,-29,39,2,-41,19,73,-92,-39,-19,-78, 
-29,-53,-24,41,-2,-39,29,73,-92,-43,-29,-73, 
-29,-53,-24,41,-2,-39,29,73,-87,-43,-24,-73, 
-29,-53,-24,41,-2,-39,24,73,-82,-43,-24,-73, 
-34,-53,-19,43,-7,-36,24,73,-82,-39,-24,-73, 
-24,-43,-19,34,-2,-31,24,68,-82,-39,-29,-73, 
-24,-43,-19,34,-2,-31,24,68,-82,-39,-29,-73, 
-29,-43,-14,36,-7,-29,24,68,-82,-39,-29,-73, 
-29,-43,-14,36,-7,-29,24,68,-87,-39,-24,-73, 
-19,-53,-34,36,7,-43,24,63,-87,-39,-24,-73, 
-14,-48,-34,31,9,-41,19,63,-87,-39,-24,-73, 
-14,-48,-34,31,9,-41,19,63,-87,-39,-24,-73, 
-14,-53,-39,34,12,-46,19,63,-87,-39,-24,-73, 
-24,-53,-29,39,2,-41,19,58,-87,-39,-29,-73, 
-24,-48,-24,36,0,-36,14,58,-87,-39,-34,-73, 
-24,-48,-24,36,0,-36,14,58,-92,-39,-39,-73, 
-24,-53,-29,39,2,-41,14,53,-92,-39,-39,-73, 
-19,-63,-43,41,12,-53,14,43,-97,-43,-39,-82, 
-19,-63,-43,41,12,-53,14,43,-97,-43,-34,-82, 
-19,-68,-48,43,14,-58,14,48,-97,-43,-34,-82, 
-19,-68,-48,43,14,-58,14,48,-97,-43,-34,-82, 
-19,-58,-39,39,9,-48,9,43,-97,-48,-34,-78, 
-19,-58,-39,39,9,-48,9,43,-97,-48,-34,-78, 
-19,-58,-39,39,9,-48,9,43,-97,-53,-34,-78, 
-19,-58,-39,39,9,-48,9,39,-97,-53,-34,-78, 
-19,-58,-39,39,9,-48,9,39,-97,-53,-34,-87, 
-19,-58,-39,39,9,-48,4,39,-97,-53,-34,-87, 
-19,-53,-34,36,7,-43,4,39,-102,-53,-34,-87, 
-19,-53,-34,36,7,-43,4,39,-102,-53,-39,-87, 
-19,-58,-39,39,9,-48,4,48,-102,-53,-39,-87, 
-19,-58,-39,39,9,-48,4,48,-102,-53,-39,-92, 
-24,-63,-39,43,7,-51,4,48,-102,-53,-39,-92, 
-24,-73,-48,48,12,-61,0,48,-107,-53,-39,-92, 
-19,-78,-58,48,19,-68,0,34,-112,-53,-39,-92, 
-19,-73,-53,46,17,-63,4,34,-112,-58,-39,-92, 
-19,-73,-53,46,17,-63,4,34,-117,-58,-39,-92, 
-24,-73,-48,48,12,-61,4,34,-117,-58,-39,-92, 
-34,-82,-48,58,7,-65,4,34,-117,-58,-39,-92, 
-29,-78,-48,53,9,-63,4,34,-117,-58,-39,-92, 
-29,-73,-43,51,7,-58,4,34,-117,-63,-43,-92, 
-29,-73,-43,51,7,-58,4,34,-117,-63,-43,-92, 
-39,-73,-34,56,-2,-53,0,34,-126,-63,-43,-92, 
-39,-73,-34,56,-2,-53,4,34,-126,-63,-43,-92, 
-34,-78,-43,56,4,-61,4,34,-122,-63,-43,-92, 
-34,-78,-43,56,4,-61,0,39,-117,-63,-43,-92, 
-34,-78,-43,56,4,-61,0,39,-117,-63,-43,-92, 
-39,-78,-39,58,0,-58,0,39,-112,-68,-48,-92, 
-39,-78,-39,58,0,-58,0,39,-112,-68,-53,-97, 
-34,-73,-39,53,2,-56,4,39,-112,-68,-53,-97, 
-34,-82,-48,58,7,-65,4,29,-122,-78,-63,-97, 
-34,-82,-48,58,7,-65,4,34,-122,-78,-63,-97, 
-29,-82,-53,56,12,-68,4,39,-122,-78,-58,-97, 
-29,-82,-53,56,12,-68,0,39,-122,-78,-58,-97, 
-29,-82,-53,56,12,-68,0,34,-122,-82,-58,-97, 
-29,-82,-53,56,12,-68,0,39,-117,-78,-63,-97, 
-24,-82,-58,53,17,-70,0,39,-117,-78,-63,-97, 
-24,-82,-58,53,17,-70,-4,39,-122,-78,-63,-97, 
-24,-82,-58,53,17,-70,-4,48,-117,-82,-73,-97, 
-24,-82,-58,53,17,-70,-4,48,-117,-82,-73,-92, 
-29,-82,-53,56,12,-68,-4,43,-117,-82,-73,-92, 
-29,-82,-53,56,12,-68,-4,39,-117,-82,-73,-92, 
-24,-87,-63,56,19,-75,4,39,-122,-82,-73,-92, 
-24,-87,-63,56,19,-75,4,39,-122,-87,-73,-97, 
-24,-87,-63,56,19,-75,0,39,-122,-87,-73,-97, 
-24,-82,-58,53,17,-70,-9,39,-126,-87,-73,-102, 
-34,-82,-48,58,7,-65,0,39,-136,-82,-82,-112, 
-29,-82,-53,56,12,-68,0,34,-131,-82,-78,-107, 
-29,-82,-53,56,12,-68,0,34,-126,-82,-78,-102, 
-29,-82,-53,56,12,-68,0,34,-122,-82,-78,-97, 
-29,-92,-63,61,17,-78,-4,43,-122,-82,-73,-102, 
-29,-87,-58,58,14,-73,-4,43,-122,-82,-73,-102, 
